2023/08/07 05:46:14 [error] 65609#0: *13573 [lua] share_dict.lua:85:  counter: 580, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13574 [lua] share_dict.lua:85:  counter: 581, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13575 [lua] share_dict.lua:85:  counter: 582, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13576 [lua] share_dict.lua:85:  counter: 583, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13577 [lua] share_dict.lua:85:  counter: 584, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13578 [lua] share_dict.lua:85:  counter: 585, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13579 [lua] share_dict.lua:85:  counter: 586, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13580 [lua] share_dict.lua:85:  counter: 587, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13581 [lua] share_dict.lua:85:  counter: 588, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13582 [lua] share_dict.lua:85:  counter: 589, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13583 [lua] share_dict.lua:85:  counter: 590, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13584 [lua] share_dict.lua:85:  counter: 591, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13585 [lua] share_dict.lua:85:  counter: 592, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13586 [lua] share_dict.lua:85:  counter: 593, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13587 [lua] share_dict.lua:85:  counter: 594, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13588 [lua] share_dict.lua:85:  counter: 595, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13589 [lua] share_dict.lua:85:  counter: 596, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13590 [lua] share_dict.lua:85:  counter: 597, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13591 [lua] share_dict.lua:85:  counter: 598, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13592 [lua] share_dict.lua:85:  counter: 599, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13593 [lua] share_dict.lua:85:  counter: 600, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13594 [lua] share_dict.lua:85:  counter: 601, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13595 [lua] share_dict.lua:85:  counter: 602, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13596 [lua] share_dict.lua:85:  counter: 603, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13597 [lua] share_dict.lua:85:  counter: 604, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13598 [lua] share_dict.lua:85:  counter: 605, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13599 [lua] share_dict.lua:85:  counter: 606, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13600 [lua] share_dict.lua:85:  counter: 607, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13601 [lua] share_dict.lua:85:  counter: 608, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13602 [lua] share_dict.lua:85:  counter: 609, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13603 [lua] share_dict.lua:85:  counter: 610, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65609#0: *13604 [lua] share_dict.lua:85:  counter: 611, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13605 [lua] share_dict.lua:85:  counter: 612, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13606 [lua] share_dict.lua:85:  counter: 613, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13607 [lua] share_dict.lua:85:  counter: 614, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:14 [error] 65610#0: *13608 [lua] share_dict.lua:85:  counter: 615, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13609 [lua] share_dict.lua:85:  counter: 616, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13610 [lua] share_dict.lua:85:  counter: 617, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13611 [lua] share_dict.lua:85:  counter: 618, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13612 [lua] share_dict.lua:85:  counter: 619, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13613 [lua] share_dict.lua:85:  counter: 620, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13614 [lua] share_dict.lua:85:  counter: 621, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13615 [lua] share_dict.lua:85:  counter: 622, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13616 [lua] share_dict.lua:85:  counter: 623, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13617 [lua] share_dict.lua:85:  counter: 624, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13618 [lua] share_dict.lua:85:  counter: 625, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13619 [lua] share_dict.lua:85:  counter: 626, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13620 [lua] share_dict.lua:85:  counter: 627, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13621 [lua] share_dict.lua:85:  counter: 628, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13622 [lua] share_dict.lua:85:  counter: 629, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13623 [lua] share_dict.lua:85:  counter: 630, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13624 [lua] share_dict.lua:85:  counter: 631, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13625 [lua] share_dict.lua:85:  counter: 632, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13626 [lua] share_dict.lua:85:  counter: 633, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13627 [lua] share_dict.lua:85:  counter: 634, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65609#0: *13628 [lua] share_dict.lua:85:  counter: 635, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13629 [lua] share_dict.lua:85:  counter: 636, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13630 [lua] share_dict.lua:85:  counter: 637, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
2023/08/07 05:46:15 [error] 65610#0: *13631 [lua] share_dict.lua:85:  counter: 638, context: ngx.timer, client: 192.168.100.130, server: 0.0.0.0:8010
